"General", "Aviation"
"B744", "ACA"
"B744", "AFF"
"B744", "AFR"
"B744", "AIC"
"B744", "ALZ"
"B744", "ANA"
"B744", "ANZ"
"B744", "ARG"
"B744", "ARW"
"B744", "AUH"
"B744", "AUZ"
"B744", "AXN"
"B744", "BAW"
"B744", "BHA"
"B744", "BUH"
"B744", "CAL"
"B744", "CCA"
"B744", "CNS"
"B744", "CPA"
"B744", "CRL"
"B744", "DAL"
"B744", "DLH"
"B744", "DUB"
"B744", "ELY"
"B744", "EMI"
"B744", "EMR"
"B744", "EUK"
"B744", "EVA"
"B744", "FLO"
"B744", "FMT"
"B744", "FUN"
"B744", "GAL"
"B744", "GIA"
"B744", "GLL"
"B744", "GTI"
"B744", "IAW"
"B744", "IRA"
"B744", "IRM"
"B744", "JAL"
"B744", "JGO"
"B744", "KAC"
"B744", "KAL"
"B744", "KLM"
"B744", "LNI"
"B744", "MAS"
"B744", "MHL"
"B744", "NWA"
"B744", "PAL"
"B744", "PIA"
"B744", "PLM"
"B744", "PNW"
"B744", "QFA"
"B744", "RAM"
"B744", "RSU"
"B744", "RUN"
"B744", "SAA"
"B744", "SEY"
"B744", "SIA"
"B744", "SUN"
"B744", "SVA"
"B744", "SWI"
"B744", "SYR"
"B744", "THA"
"B744", "TSO"
"B744", "UAL"
"B744", "VIR"
"B744", "AAR"
